Date,Number of Orders,Sales
1/1/2003,39,129753.6
2/1/2003,41,140836.19
3/1/2003,50,174504.9
4/1/2003,58,201609.55
5/1/2003,58,192673.11
6/1/2003,46,168082.56
7/1/2003,50,187731.88
8/1/2003,58,197809.3
9/1/2003,76,263973.36
10/1/2003,158,568290.97
11/1/2003,296,1029837.66
12/1/2003,70,261876.46
1/1/2004,91,316577.42
2/1/2004,86,311419.53
3/1/2004,56,205733.73
4/1/2004,64,206148.12
5/1/2004,74,273438.39
6/1/2004,85,286674.22
7/1/2004,91,327144.09
8/1/2004,133,461501.27
9/1/2004,95,320750.91
10/1/2004,159,552924.25
11/1/2004,301,1089048.01
12/1/2004,110,372802.66
1/1/2005,99,339543.42
2/1/2005,97,358186.18
3/1/2005,106,374262.76
4/1/2005,56,261633.29
5/1/2005,120,457861.06
